Run,Fill,LumiEosOld,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb],scale_x,Flux1_eos,Flux11_eos,Flux3_eos,Flux13_eos,Flux1_st,Flux11_st,Flux3_st,Flux13_st,FluxErr1_eos,FluxErr11_eos,FluxErr3_eos,FluxErr13_eos,FluxErr1_st,FluxErr11_st,FluxErr3_st,FluxErr13_st,nEvents,nTracks1,nTracks1Total,nTracks11,nTracks11Total,nTracks3,nTracks3Total,nTracks13,nTracks13Total,scale
6975,9192.0,0.0017650000000000,1695740795000.0,1695762558000.0,6799.44,50ns_119b_58_51_58_56bpi_9inj_3INDIV_4NC_PbPb,3.1,155.630833,0.993056,0.354722,PB82,PB82,119.0,119.0,58.0,51.0,58.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.1329830000000000,0.132744,0.00000,0.00000,4.541849,3.095937,3.509692,1.854075,0.000359,0.0003830000000000,0.0002830000000000,252.377701,12529.294296,12825.028018,0.002104,0.00254,0.002112,116.158468,100.0,22367.12400200000,22428.724289999998,21787.63489000000,21765.141799000001,18763.492720999999,18815.168410999999,18277.36675600000,18258.49759200000,1496.6202310000001,1453.7434780000001,1543.9296050000000,1613.8023009999999,1255.4954680000001,1219.5267110000000,1295.182693000000,1353.7979989999999,980864.0,318.0,628.0,349.0,631.0,278.0,595.0,277.0,565.0,100.0
6977,9193.0,0.0083770000000000,1695762558000.0,1695798199000.0,6799.56,50ns_227b_170_170_161_56bpi_7inj_3INDIV_PbPb,4.9875,5.114167,1.2375,0.354722,PB82,PB82,227.0,227.0,170.0,170.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.129553,0.129243,0.00000,0.00000,4.478899,3.017495,3.513541,1.932713,0.000926,0.001079,0.0008900000000000,0.0090590000000000,11567.653036,16327.475405,0.008642,0.0090520000000000,0.009374,0.0133520000000000,100.0,17146.45935200000,17196.5345330000,16595.464956000000,16638.181725999999,16620.77979200000,16669.319757000001,16086.677890999999,16128.085042000001,803.657572000000,792.3861760000000,816.2907770000000,893.2974230000000,779.0188780000000,768.0930430000000,791.2647720000000,865.9105330000000,3589143.0,1157.0,2449.0,1270.0,2340.0,1005.0,2362.0,1005.0,2207.0,100.0
6981,9194.0,0.0056890000000000,1695798199000.0,1695819590000.0,6799.44,50ns_227b_170_170_161_56bpi_7inj_3INDIV_PbPb,2.496667,3.49,2.03,0.355,PB82,PB82,227.0,227.0,170.0,170.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.1324840000000000,0.1355670000000000,0.00000,0.00000,2.181721,2.031647,3.424064,1.848948,0.0010320000000000,0.001185,0.00099,0.000659,11022.732038,11022.732038,0.005726,0.006593,0.0060180000000000,0.003978,100.0,17260.760094000001,17286.1648460000,17068.793036999999,17283.367893999999,17149.735978000001,17174.97732200000,16959.003685000000,17172.19836000000,879.5761710000000,862.4403310000000,911.0474760000000,992.5509029999999,873.9185890000000,856.8929700000000,905.1874650000000,986.1666490000000,2418274.0,791.0,1663.0,867.0,1595.0,702.0,1560.0,709.0,1487.0,100.0
6992,9197.0,0.005796000000000,1695837094000.0,1695857101000.0,6799.56,50ns_227b_170_170_161_56bpi_7inj_3INDIV_PbPb,3.179722,7.1025,0.823333,0.355,PB82,PB82,227.0,227.0,170.0,170.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.122434,0.1267410000000000,0.00000,0.00000,2.099488,2.056136,3.449922,1.844492,0.0010190000000000,0.001033,0.000853,0.000567,9214.265637,23132.847721,0.006614,0.00553,0.006264,0.004179,100.0,15935.311068000001,16203.695254000000,16323.977192000000,15983.164855000001,13965.003328999999,14200.203385000001,14305.61316700000,14006.9402760000,824.4264060000000,817.2082410000000,877.0065760000000,929.851426000000,722.490917000000,716.1652350000001,768.5698570000000,814.8807510000000,6317650.0,744.0,1612.0,828.0,1539.0,684.0,1567.0,668.0,1466.0,100.0
7001,9200.0,0.003034000000000,1695864497000.0,1695876202000.0,6799.56,50ns_227b_170_170_161_56bpi_7inj_3INDIV_PbPb,1.329722,3.908611,0.863889,0.354722,PB82,PB82,227.0,227.0,170.0,170.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.1213020000000000,0.1265450000000000,0.00000,0.00000,2.123475,1.991448,3.461456,1.799169,0.001002,0.0010220000000000,0.000871,0.000568,10285.165398,10285.165398,0.003574,0.0036780000000000,0.003286,0.002131,100.0,18655.782678000000,18465.95190700000,18462.305032000000,18509.8270530000,15839.54102500000,15678.36674800000,15675.270399000001,15715.618585000000,1107.702966000000,1070.4033680000000,1152.0136680000001,1221.7445980000000,940.486222000000,908.817301000000,978.1078649999999,1037.312346000000,3218325.0,456.0,941.0,494.0,897.0,405.0,918.0,405.0,867.0,100.0
7021,9206.0,0.0068450000000000,1695957632000.0,1695990222000.0,6799.44,50ns_451b_394_394_161_56bpi_11inj_3INDIV_PbPb,2.0575,22.261944,1.268333,0.355278,PB82,PB82,451.0,451.0,394.0,394.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.1264090000000000,0.125835,0.00000,0.00000,2.203224,1.975104,3.460855,1.90143,0.002366,0.002447,0.001992,0.000596,6435.183637,6435.183637,0.008402,0.011243,0.010865,0.00298,100.0,18135.700981000002,18591.880676000001,18934.603053999999,18010.875075000000,14775.75296000000,15147.41758400000,15426.644794000000,14674.053183000000,875.8828600000001,877.3848920000000,945.1438290000000,988.5342770000000,713.6106170000000,714.8343720000000,770.039810000000,805.3914370000000,9762258.0,1000.0,2182.0,1122.0,2047.0,937.0,2064.0,889.0,1943.0,100.0
7028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0,2539.0,624.0,2366.0,499.0,2373.0,490.0,2297.0,100.0
7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,889.0,255.0,849.0,200.0,829.0,199.0,802.0,100.0
7039,9218.0,0.0152500000000000,1696249802000.0,1696284400000.0,6799.44,50ns_675b_506_610_369_56bpi_15inj_3INDIV_PbPb,5.045,5.114167,1.558611,0.355278,PB82,PB82,675.0,675.0,506.0,610.0,369.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.103252,0.118872,0.00000,0.00000,2.144653,1.934689,3.468136,2.071667,0.0025120000000000,0.002347,0.0027210000000000,0.000919,9075.729098,-329941.897654,0.018794,0.021983,0.028108,0.011247,100.0,17226.148342000000,17241.77887400000,17116.96202300000,17115.549423000000,13977.475492000000,13990.158267999999,13888.8805800000,13887.734382000001,731.8780000000000,724.8132360000000,756.7042750000001,841.7820720000000,593.8534030000000,588.1209800000000,613.9977000000000,683.0307070000000,13543709.0,2116.0,4426.0,2318.0,4255.0,1887.0,4291.0,1882.0,4051.0,100.0
7045,9220.0,0.024847000000000,1696292296000.0,1696323651000.0,6799.44,50ns_675b_506_610_369_56bpi_15inj_3INDIV_PbPb,5.7925,4.713056,1.299722,0.355,PB82,PB82,675.0,675.0,506.0,610.0,369.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.124067,0.125336,0.00000,0.00000,2.22501,1.993989,3.475332,1.967847,0.003177,0.002792,0.0035340000000000,0.001423,11043.201852,19184.209732,0.029873,0.026661,0.035788,0.014474,100.0,17382.457501000001,17530.08781900000,17208.30203500000,17090.731061999999,14457.988950000001,14580.781569999999,14313.133839000000,14215.343304000000,699.6192119999999,700.374724000000,719.4455730000000,804.1970550000000,581.9135090000000,582.5419120000000,598.4042330000000,668.8969120000000,20232597.0,3479.0,7186.0,3840.0,6834.0,3091.0,6817.0,3062.0,6501.0,100.0
