Run Fill AccType nEntries
7649 9395 10 3618870
7650 9395 10 3540895
7651 9397 10 3297409
7652 9398 10 750996
7653 9399 10 3368937
7654 9400 11 9314693
7655 9400 10 11930
7656 9400 10 128850
7657 9401 10 870388
7658 9401 10 845912
7659 9401 10 535109
7660 9402 10 7564
7661 9402 10 16023
7663 9402 10 3471150
7664 9402 10 2910807
7665 9403 10 11232
7666 9403 10 12814
7667 9403 10 1035179
7668 9403 10 8693005
7669 9404 10 6481
7670 9404 10 1785633
7671 9405 10 7717366
7672 9406 10 105691
7673 9406 10 280182
7674 9406 10 61823
7675 9407 10 12606
7676 9407 10 15856
7677 9407 10 1389762
7678 9407 10 593819
7679 9408 10 1375776
7680 9408 10 95865
7681 9409 10 27859
7682 9409 10 10012
7683 9409 10 2457700
7684 9409 10 122461
7685 9410 10 59381
7686 9410 10 2015225
7687 9410 10 274069
7688 9411 10 4061
7689 9411 10 2023995
7690 9411 10 456972
7691 9412 10 6070
7692 9412 10 17275
7693 9412 10 1136892
7694 9412 10 133241
7695 9413 10 239471
7696 9413 10 2003179
7697 9413 10 1460637
7698 9414 10 141656
7699 9414 10 14437
7700 9414 10 1752212
7701 9414 10 1000001
7702 9415 10 756366
7703 9415 10 2923929
7704 9416 10 221751
7705 9417 10 8243
7706 9417 10 9880
7707 9417 10 803403
7708 9418 10 4674443
7709 9419 10 2380973
7710 9419 10 7531588
7711 9419 10 2459705
7712 9420 10 55807
7713 9420 10 921895
7714 9420 10 1340300
7715 9421 10 41204
7716 9421 10 1556749
7717 9421 10 150584
7718 9422 10 4132
7719 9422 10 1179150
7720 9422 10 578940
7721 9423 10 59245
7723 9423 10 3227542
7724 9423 10 12248977
7725 9424 10 2383452
7726 9424 10 181948
7727 9425 10 8578044
7728 9425 10 5327124
7729 9425 10 4855670
7730 9428 10 125271
7731 9428 10 3367
7732 9429 10 233932
7733 9429 10 335349
7734 9429 10 2103864
7735 9430 10 12750
7736 9430 10 12228
7737 9430 10 2376927
7738 9430 10 279812
7739 9431 10 41950
7740 9431 10 1076853
7741 9431 10 334900
7742 9432 10 7129
7743 9432 10 4376
7744 9432 10 2078975
7745 9432 10 5310922
7746 9433 10 79852
7747 9433 10 12668
7748 9433 10 2384121
7749 9433 10 4110726
7750 9434 10 123360
7751 9434 10 1390627
7752 9435 10 247857
7753 9435 10 969593
7754 9435 10 8435456
7755 9436 10 70445
7756 9436 10 1651456
7757 9437 10 1033884
7758 9437 10 8029218
7759 9438 10 43166
7760 9438 10 8652
7761 9438 10 2706263
7762 9438 10 2821461
7763 9439 10 51482
7764 9439 10 1803664
7765 9439 10 954091
7766 9440 10 39947
7767 9440 10 1060494
7768 9440 10 297810
7769 9441 10 41958
7770 9441 10 1897785
7771 9441 10 867083
7772 9442 10 35713019
7773 9443 10 354930
7774 9443 10 11427
7775 9443 10 1030270
7776 9443 10 11972619
7777 9444 10 562566
7778 9444 10 861165
7779 9444 10 3064744
7780 9445 10 30817
7781 9445 10 12228
7785 9445 10 5629069
7786 9445 10 9977
7787 9445 10 76363
7788 9446 10 1099964
7789 9446 10 12727868
7790 9447 10 825910
7791 9448 10 24769
7792 9448 10 3749
7793 9448 10 623274
7794 9448 10 6975981
7795 9448 10 81674
7796 9449 10 261358
7797 9450 10 2213494
7798 9450 10 5484609
7799 9451 10 24819
7800 9451 10 1725370
7801 9451 10 917327
7802 9451 10 488561
7803 9451 10 674832
7804 9452 10 60516
7805 9452 10 4447621
7806 9453 10 1096431
7807 9453 10 8104002
7808 9454 10 5715347
7809 9455 10 2370332
7810 9455 10 3267889
7811 9456 10 50208
7812 9456 10 1200014
7813 9456 10 1017265
7814 9457 10 1409225
7815 9458 10 209074
7816 9459 10 10268382
7817 9460 10 276779
7818 9461 10 3282889
7819 9461 10 11945359
7820 9462 10 737016
7821 9462 10 592363
7822 9463 10 322935
7823 9464 10 2576601
7824 9464 10 1004614
7825 9465 10 2256
7827 9465 10 4944937
7829 9466 10 186870
7830 9466 10 1220106
7831 9466 10 2847878
7832 9467 10 1552126
7833 9467 10 2901509
7834 9468 10 9025
7835 9468 10 1472019
7836 9468 10 2808412
7837 9469 10 10818
7838 9469 10 2664410
7839 9469 10 1216776
7840 9470 10 435523
7841 9471 11 87527
7842 9472 11 786352
7843 9473 11 609688
7844 9473 11 6489300
7845 9474 11 16582
7846 9474 11 12610
7847 9474 11 1705530
7848 9474 11 6015334
7849 9475 11 52318
7850 9475 11 1415457
7851 9475 11 12135879
7852 9476 11 1794939
7853 9476 11 7811551
7854 9477 11 5199355
7855 9479 11 480608
7856 9479 11 20200725
7857 9480 11 361102
7858 9481 11 1002376
7859 9481 11 127711
7860 9481 11 2103149
7861 9482 11 411956
7862 9483 11 34961
7864 9483 11 3931948
7865 9483 11 674664
7867 9484 11 24529
7868 9484 11 2740954
7869 9484 11 81315
7870 9484 11 29970
7871 9484 11 261067
7872 9484 11 15507
7873 9484 11 106493
7874 9484 11 39547
7875 9484 11 171474
7876 9484 11 260665
7877 9484 11 51393
7878 9484 11 160415
7879 9484 11 1530320
7880 9484 11 362
7881 9484 11 39462
7882 9484 11 824207
7883 9484 11 91401
7884 9484 11 362048
7885 9484 11 286444
7886 9484 11 13923
7887 9484 11 185153
7889 9485 11 78119
7890 9485 11 9927
7891 9485 11 54099
7892 9485 11 2026642
7893 9485 11 16817516
7894 9486 11 330458
7895 9487 11 1545031
7896 9487 11 3572505
7897 9488 11 43725
7898 9488 11 2181439
7899 9488 11 3966
7900 9490 11 52656
7901 9490 11 73922
7902 9490 11 17217
7903 9490 11 4055457
7904 9491 11 4755288
7905 9492 11 4516772
7906 9493 11 116058
7907 9493 11 5399496
7908 9494 11 31417
7909 9495 11 20963
7910 9495 11 11177
7911 9495 11 1169415
7912 9495 11 3375064
7913 9496 11 2638991
7914 9496 11 460580
7915 9496 11 14904900
7916 9497 11 28049
7917 9497 11 1316087
7918 9497 11 16172307
7919 9498 11 1494191
7920 9498 11 251754
7921 9499 11 192065
7922 9499 11 898103
7923 9499 11 42342261
7924 9500 11 95825
7925 9500 11 6944172
7926 9501 11 3916046
7927 9502 11 7827
7929 9502 11 4879094
7930 9503 11 668019
7931 9504 11 1408340
7932 9505 11 3081123
7933 9506 11 2895103
7934 9507 11 1319285
7935 9507 11 259808
7936 9508 11 48435
7937 9508 11 1143187
7938 9509 11 859467
7939 9509 11 34710437
7940 9510 11 98086
7941 9510 11 1696589
7942 9510 11 19673910
7943 9511 11 110488
7944 9511 11 1332005
7945 9511 11 1644308
7946 9512 11 7597
7947 9512 11 2210591
7948 9512 11 236535314
7949 9513 11 94982
7950 9513 11 2633
7952 9513 11 2066733
7953 9514 11 876967
7954 9514 11 165976951
7955 9515 11 26236
7956 9515 11 3679
7957 9515 11 4427355
7958 9516 11 5261465
7959 9517 11 1828349
7960 9517 11 5240044
7961 9517 11 1507278
7962 9517 11 14651544
7963 9517 11 8664377
7964 9517 11 3884950
7965 9518 11 8809
7966 9518 11 952773
7969 9518 11 228040
7970 9518 11 7021556
7971 9518 11 5161707
7972 9518 11 7418100
7973 9518 11 9613475
7974 9518 11 1049728
