Fill,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb]
10404,1732320271000,1732344479000,6798.96,50ns_1240b_1032_1032_557_56bpi_PbPb,3.4069440000000002,9.778888999999999,1.801111000000000,0.355,PB82,PB82,1184,1128,920,920,407,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.1934720000000000,0.19550600000000001,0.00000000000000000000,0.0000000000000000000,2.8324609999999999,2.5348430000000000,2.645546000000000,2.0601240000000001,0.006441000000000000,0.006469000000000000,0.006318000000000000,0.0014360000000000000,13149.438704000000,10430.825375000000,0.06033800000000000,0.0602370000000000,0.057376999999999997,0.01201900000000000
10403,1732309196000,1732320271000,2876.52,,0,0,1.7130559999999999,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10402,1732293326000,1732309196000,6798.84,,0,0,1.791389000000000,0.355,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,0.0000000000000000000,0.00000000000000000000,2.6721849999999998,2.414832000000000,2.4995259999999999,2.0298820000000002,0.000009000000000000000,0.0000000000000000000,0.000008000000000000000,0.0000010000000000000,,,,,,0
10401,1732268849000,1732293326000,6799.56,50ns_1240b_1032_1032_557_56bpi_PbPb,3.5302780000000000,3.152222000000000,2.019722000000000,0.35555599999999998,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.19352700000000000,0.1941450000000000,0.0000000000000000000,0.00000000000000000000,2.65534500000000,2.1778369999999998,2.7391749999999999,2.0460650000000000,0.006445000000000000,0.006478000000000000,0.006600000000000000,0.001556000000000000,20584.80165600000,11142.632871000000,0.06797300000000001,0.06703500000000000,0.07153500000000000,0.01659700000000000
10400,1732234059000,1732268849000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,6.6691669999999998,,1.6452780000000000,0.355,PB82,PB82,559,569,1032,1032,557,0.5,,0.5,,150,150,-150,-210,,,0.44179299999999999,0.43260700000000002,0.00000000000000000000,0.00000000000000000000,2.7579449999999999,2.113921000000000,2.8211650000000001,2.060235000000000,0.006439000000000000,0.006488000000000000,0.006469000000000000,0.001720000000000000,26461.83390000000,7566.070161000000,0.09383100000000000,0.09222700000000000,0.09903000000000001,0.023729000000000000
10399,1732229793000,1732234059000,6747.6,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10398,1732179100000,1732229793000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,7.254722000000000,6.501389000000000,2.4586109999999999,0.35555599999999998,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.19467999999999999,0.19581100000000001,0.00000000000000000000,0.00000000000000000000,2.652163000000000,2.1249220000000002,2.5826250000000002,2.0121389999999999,0.006467000000000000,0.006472000000000000,0.006637000000000000,0.0016149999999999999,24040.139687999999,7011.145160000000,0.09689600000000000,0.09497500000000000,0.10177100000000000,0.025738000000000000
10397,1732142706000,1732179100000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,7.295556000000000,21.88277800000000,1.6961109999999999,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.19108400000000000,0.19478899999999999,0.0000000000000000000,0.00000000000000000000,2.6676929999999999,2.2493530000000002,2.680794000000000,2.052807000000000,0.006433000000000000,0.006463000000000000,0.006443000000000000,0.0015629999999999999,20155.166150000001,15776.651311000000,0.09815400000000001,0.09598600000000000,0.10505299999999999,0.026588000000000001
10396,1732131283000,1732142706000,6799.44,,0,0,0.7452780000000000,0.3552780000000000,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,0.00000000000000000000,0.00000000000000000000,1.4041809999999999,0.9840260000000000,1.4081930000000000,0.9383520000000000,0.00006200000000000000,0.00006999999999999999,0.00005800000000000000,0.00020100000000000001,7867.836872000000,7867.836872000000,0,0,,0
10395,1732127971000,1732131283000,1884.24,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
